date,headline
2025-01-03,"Apple expands manufacturing partnership with Foxconn in India"
2025-01-17,"Wall Street sees upside as Apple doubles down on MacBook AI chips"
2025-02-04,"Apple sets March event to unveil upgraded iPad Pro with OLED display"
2025-02-19,"Regulators probe App Store rules amid European developers' complaints"
2025-03-12,"Apple launches green bond to fund clean energy suppliers"
2025-04-01,"Analysts debate demand after Apple trims Vision Pro production targets"
2025-04-18,"Apple retail chief outlines strategy for emerging market growth"
2025-05-09,"Supply chain reports strong iPhone 16 preorder momentum"
2025-06-03,"WWDC preview: Apple rumored to announce new on-device AI features"
2025-07-22,"Apple signs multi-year deal to stream MLS matches globally"
2025-08-14,"Services segment offsets softer hardware sales in Apple earnings"
2025-09-05,"Apple partners with TSMC on next-gen 2nm process capacity"
