date,headline,leakage_reason
2024-01-06,"EXCHANGE --- Friday's Markets: Stocks Start New Year With Weekly Loss --- S&P 500 finished the week down 1.5%, snapping a nine- week winning streak",daily market recap
2024-01-10,"Stock market today: S&P 500 futures edge up as Intuitive Surgical, Match Group, Lennar rise",daily market recap
2024-01-13,EXCHANGE --- Friday's Markets: S&P 500 Misses Record Despite Weekly Gain --- Index is within 0.3% of a record high that has stood for more than two years,daily market recap
2024-01-19,S&P 500 closes at a new all-time high as fresh data drives optimism for rate cuts,same-day outcome phrase
2024-01-20,EXCHANGE --- Friday's Markets: S&P 500 Climbs 1.2% to a Record --- Benchmark index surpasses its previous high set two years ago,daily market recap
2024-01-22,"A 1990s-style stock melt-up is now possible after the S&P 500 hit record highs, market veteran says",same-day outcome phrase
2024-01-24,S&P 500 rises to another fresh record as earnings optimism powers rally,same-day outcome phrase
2024-01-24,"World markets today: US stocks surge, S&P 500 hits fresh record high; Netflix climbs over 12%",daily market recap
2024-01-24,"World markets today: US stocks jump, S&P 500 hits fresh record high, Netflix climbs over 12%",daily market recap
2024-01-25,"S&P 500 Sets Fourth High in Row --- Netflix climbs 11%, biggest winner on day in broad market benchmark",same-day outcome phrase
2024-01-26,"US Market: Wall Street rises on strong GDP data, S&P 500 sets a new record",same-day outcome phrase
2024-02-02,The stock market is reliving the dot-com tech bubble as the Magnificent 7 account for 45% of S&P 500 gains to start the year,same-day outcome phrase
2024-02-03,"EXCHANGE --- Friday's Markets: S&P 500, Dow Reach New Highs",daily market recap
2024-02-07,"World markets today: US stocks gain on strong earnings, S&P 500 hits fresh record high",daily market recap
2024-02-08,"US stocks rise as S&P 500 falls short of 5,000 milestone",same-day outcome phrase
2024-02-12,World: European shares rise as S&P 500 hits record high as earnings thrill,same-day outcome phrase
2024-02-12,"Stock market today: futures take a breather after S&P 500 closes above 5,000 points",daily market recap
2024-02-13,"World markets today: US stocks sink after inflation data dampens rate cut hopes; Dow, S&P 500, Nasdaq dip over 1%",daily market recap
2024-02-22,"World markets today: US stocks surge on robust Nvidia results, S&P 500 up 1.31%, Nasdaq climbs 2.13%",daily market recap
2024-02-24,"What's Behind the S&P 500's Spectacular Gains, in 4 Charts",same-day outcome phrase
2024-03-02,Indian stock market: 5 key things that changed for market over the weekend - Gifty Nifty to S&P 500 ends at record,same-day outcome phrase
2024-03-07,Stock market today: S&P 500 hits record as Powell reaffirms rate cuts,daily market recap
2024-03-07,"Stock market today: S&P 500, Nasdaq notch records as Powell reiterates rate cuts are coming",daily market recap
2024-03-08,"US stock market: S&P 500, Nasdaq hit record highs as Powell signals rate cuts ahead",same-day outcome phrase
2024-03-13,Stock market today: US futures flatline after S&P 500 hits another record high,daily market recap
2024-03-16,EXCHANGE --- Friday's Markets: S&P 500 Drops for Second Straight Week --- Investors await Fed meeting for clarity on rates amid hot inflation readings,daily market recap
2024-03-20,"S&P 500 Climbs to Record Before Fed --- Ten of 11 industry sectors gain; Energy is leader, pushed up by rising oil prices",same-day outcome phrase
2024-04-05,S&P 500 trackers hit record 27% of equity ETF flows last year: Blue chips. US clout Tally climbs to $137bn as benchmarks are recast by rise of Magnificent Seven,same-day outcome phrase
2024-04-17,Stock market today: S&P 500 hits 4-day losing streak as tech stocks weigh down market,daily market recap
2024-04-19,Stock market today: S&P 500 falls for 6th day in a row amid weakness in mega-cap tech,daily market recap
2024-05-09,"Markets & Finance -- Wednesday's Markets: Blue Chips Extend Longest Win Streak of Year to 6 Days --- S&P 500 falls slightly, ending four straight days of gains; Nasdaq drops",daily market recap
2024-05-10,Wall Street rises to pull S&P 500 back within 1% of its record,same-day outcome phrase
2024-05-14,The S&P 500 just flashed a bullish signal that suggests the stock market will hit record highs this summer,same-day outcome phrase
2024-05-15,Stock market today: S&P 500 closes at a record high as stocks rise on cooler April inflation,daily market recap
2024-05-21,Technology-Stock Investors Drive Up Nasdaq to Record --- S&P 500 edges higher but ends just short of new high; Dow finishes lower,same-day outcome phrase
2024-05-21,Stock market today: S&P 500 edges higher to new record as traders brace for Nvidia earnings,daily market recap
2024-05-25,"EXCHANGE --- Friday's Markets: S&P 500, Nasdaq Notch Weekly Gains --- Dow snaps winning streak as several of its components had a tough week",daily market recap
2024-06-04,"S&P 500 Rises, Energy Stocks Falter --- Return of meme- stock mania pushes GameStop and other shares higher",same-day outcome phrase
2024-06-05,Stock market today: S&P 500 closes at record high as rate cut hopes rise and Nvidia surges,daily market recap
2024-06-07,Tech-Stock Pullback Weighs on S&P 500 --- Declines in Nvidia and Apple were offset in part by gains in other areas,same-day outcome phrase
2024-06-10,"Stock market today: S&P 500 and Nasdaq close at record highs ahead of Fed meeting, May inflation report",daily market recap
2024-06-11,"Stock market today: S&P 500 closes at a record high as investors await the latest Fed decision, May CPI",daily market recap
2024-06-15,EXCHANGE --- Friday's Markets: S&P 500 and Nasdaq Notch Weekly Gains --- The yield on the Treasury's 10-year note slides on hopes for lower rates,daily market recap
2024-06-17,Stock market today: Mega-cap tech drives S&P 500 and Nasdaq to record highs,daily market recap
2024-06-18,Stock market today: S&P 500 closes at fresh record high as Nvidia becomes world's biggest company,daily market recap
2024-06-20,Stock market today: S&P 500 and Nasdaq head for new highs as Nvidia rally pushes on,daily market recap
2024-06-22,EXCHANGE --- Friday's Markets: S&P 500 Rises for Third Week in a Row --- The benchmark index is up 15% this year due to gains in AI-related stocks,daily market recap
2024-06-22,"EXCHANGE --- Streetwise: Nvidia's Success Is the Stock Market's Problem, Broadly --- The company accounts for a third of this month's gain in the S&P 500. What happens when it falls?",same-day outcome phrase
2024-06-25,"Nvidia Pulls S&P 500, Nasdaq Lower --- Stocks end broadly higher outside of technology sector, as Dow gains 0.7%",same-day outcome phrase
2024-06-29,"EXCHANGE --- Friday's Markets: Dow Industrials, S&P 500 Decline as Nike Skids 20%",daily market recap
2024-06-29,EXCHANGE --- AI Frenzy Gives Stocks Monster First Half --- S&P 500 has climbed 14% despite reduced hopes for interest-rate cuts,same-day outcome phrase
2024-07-05,"Wall Street today: S&P 500, Nasdaq at record high on megacaps rally, yields drop",daily market recap
2024-07-06,"EXCHANGE --- Friday's Markets: Nasdaq, S&P 500 Extend Records",daily market recap
2024-07-08,"Stock market today: Nvidia pushes Nasdaq, S&P 500 to record highs",daily market recap
2024-07-10,"Markets & Finance -- Tuesday's Markets: Goldman Sachs, ICE, Other Financials Spark S&P 500",daily market recap
2024-07-10,"US Markets: S&P 500, Nasdaq hit record high for fifth consecutive session",same-day outcome phrase
2024-07-10,"Wall Street today: S&P 500, Nasdaq hit record high for fifth straight session",daily market recap
2024-07-10,"Stock market today: S&P 500 closes at a fresh record above 5,600 as traders brace for June inflation",daily market recap
